step,nll_loss
1810,6.75
1811,6.46875
1812,5.15625
1813,5.78125
1814,5.0625
1815,4.59375
1816,4.0625
1817,5.46875
1818,5.71875
1819,4.125
1820,5.3125
1821,5.84375
1822,4.25
1823,4.4375
1824,5.59375
1825,4.75
1826,5.09375
1827,5.40625
1828,6.125
1829,4.90625
1830,6.0
1831,4.6875
1832,6.0
1833,3.84375
1834,4.125
1835,5.4375
1836,4.59375
1837,5.90625
1838,5.6875
1839,4.34375
1840,5.5
1841,5.65625
1842,5.625
1843,5.84375
1844,5.4375
1845,6.0
1846,5.5
1847,6.25
1848,5.46875
1849,4.875
1850,6.15625
1851,5.78125
1852,3.515625
1853,5.78125
1854,4.3125
1855,4.1875
1856,6.03125
1857,5.71875
1858,5.46875
1859,4.28125
1860,6.0
1861,3.515625
1862,4.78125
1863,3.59375
1864,6.375
1865,5.84375
1866,5.15625
1867,5.875
1868,5.53125
1869,4.6875
1870,5.125
1871,5.0625
1872,6.46875
1873,6.40625
1874,6.09375
1875,4.71875
1876,5.53125
1877,5.28125
1878,4.53125
1879,4.59375
1880,3.609375
1881,5.40625
1882,6.3125
1883,5.03125
1884,5.59375
1885,4.5625
1886,5.15625
1887,4.78125
1888,5.375
1889,5.0625
1890,5.9375
1891,5.25
1892,4.1875
1893,6.03125
1894,5.84375
1895,5.90625
1896,4.0
1897,3.625
1898,5.6875
1899,4.5625
1900,6.25
1901,5.96875
1902,4.9375
1903,5.40625
1904,5.40625
1905,5.0
1906,5.1875
1907,5.875
1908,6.3125
1909,3.796875
1910,6.1875
1911,4.8125
1912,6.25
1913,6.15625
1914,5.8125
1915,6.9375
1916,5.0
1917,3.828125
1918,5.65625
1919,6.375
1920,3.578125
1921,6.4375
1922,6.0
1923,3.8125
1924,4.0625
1925,5.1875
1926,5.625
1927,6.0
1928,6.625
1929,5.5
1930,6.5625
1931,5.4375
1932,6.0625
1933,3.671875
1934,5.78125
1935,6.5
1936,6.03125
1937,5.3125
1938,5.09375
1939,4.78125
1940,5.125
1941,5.9375
1942,5.375
1943,5.46875
1944,5.5625
1945,4.71875
1946,6.875
1947,5.875
1948,4.15625
1949,4.5
1950,3.6875
1951,5.0
1952,5.0
1953,5.6875
1954,3.546875
1955,5.1875
1956,5.0
1957,3.828125
1958,5.40625
1959,4.96875
1960,6.1875
1961,5.875
1962,5.03125
1963,5.5625
1964,4.5
1965,5.5625
1966,5.3125
1967,5.34375
1968,4.46875
1969,4.65625
1970,5.90625
1971,5.1875
1972,6.40625
1973,5.09375
1974,5.375
1975,6.125
1976,5.0625
1977,4.8125
1978,6.125
1979,4.84375
1980,6.375
1981,5.0625
1982,5.46875
1983,5.65625
1984,5.15625
1985,5.34375
1986,6.0
1987,3.59375
1988,4.59375
1989,5.21875
1990,5.1875
1991,5.9375
1992,3.703125
1993,6.0625
1994,4.875
1995,5.6875
1996,5.625
1997,6.4375
1998,3.734375
1999,6.0
2000,5.59375
2001,5.90625
2002,4.59375
2003,4.84375
2004,3.34375
2005,6.0625
2006,5.0
2007,5.6875
2008,5.3125
2009,5.3125
2010,5.6875
2011,5.125
2012,5.53125
2013,5.78125
2014,5.65625
2015,3.40625
2016,2.96875
2017,6.6875
2018,5.78125
2019,4.0625
2020,6.0625
2021,6.15625
2022,5.875
2023,5.75
2024,5.03125
2025,4.4375
2026,5.3125
2027,6.78125
2028,4.90625
2029,4.34375
2030,5.40625
2031,3.578125
2032,4.875
2033,7.75
2034,5.4375
2035,5.40625
2036,5.28125
2037,5.03125
2038,5.0
2039,5.40625
2040,5.3125
2041,4.8125
2042,5.5
2043,5.71875
2044,6.40625
2045,5.3125
2046,5.75
2047,4.78125
2048,5.53125
2049,6.0
2050,5.0625
2051,5.0
2052,6.03125
2053,4.28125
2054,5.875
2055,4.375
2056,4.0625
2057,3.96875
2058,4.78125
2059,4.34375
2060,4.34375
2061,4.53125
2062,3.984375
2063,4.71875
2064,6.625
2065,6.5
2066,5.1875
2067,5.28125
2068,5.5625
2069,3.828125
2070,5.96875
2071,5.15625
2072,5.03125
2073,4.78125
2074,6.375
2075,6.34375
2076,5.75
2077,5.4375
2078,3.203125
2079,4.625
2080,5.4375
2081,5.78125
2082,4.34375
2083,4.96875
2084,6.71875
2085,5.84375
2086,5.78125
2087,3.5625
2088,6.28125
2089,6.3125
2090,6.0625
2091,5.0625
2092,6.03125
2093,6.1875
2094,4.8125
2095,5.78125
2096,5.46875
2097,6.34375
2098,5.125
2099,3.84375
2100,6.03125
2101,5.4375
2102,6.59375
2103,6.625
2104,6.125
2105,5.21875
2106,6.125
2107,5.53125
2108,7.21875
2109,5.90625
2110,4.625
2111,3.703125
2112,5.5625
2113,5.90625
2114,6.71875
2115,5.84375
2116,3.75
2117,6.09375
2118,4.90625
2119,3.8125
2120,5.75
2121,6.5625
2122,5.28125
2123,4.375
2124,3.9375
2125,6.75
2126,6.09375
2127,5.3125
2128,5.375
2129,6.15625
2130,4.15625
2131,6.15625
2132,5.9375
2133,5.9375
2134,5.65625
2135,5.125
2136,4.75
2137,4.34375
2138,6.65625
2139,6.09375
2140,6.34375
2141,5.6875
2142,5.21875
2143,5.4375
2144,5.1875
2145,5.03125
2146,3.328125
2147,3.65625
2148,3.484375
